index	word	lemma	posUni	posFine	morph	head	dep	_	coarse_dep
9	tarafından	taraf	NOUN	Noun	Case=Abl|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	11	obl	_	obl
12	fayda	fayda	NOUN	Noun	Case=Nom|Number=Sing|Person=3	13	obj	_	obj
14	ifade	ifade	NOUN	Noun	Case=Nom|Number=Sing|Person=3	0	root	_	root
3	soğukkanlılığım	soğukkanlılık	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=1	7	nsubj	SpaceAfter=No	nsubj
9	umut	umut	NOUN	Noun	Case=Nom|Number=Sing|Person=3	10	nmod:poss	_	nmod
10	beklentisini	beklenti	NOUN	Noun	Case=Acc|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	5	obj	SpaceAfter=No	obj
1	umut	umut	NOUN	Noun	Case=Nom|Number=Sing|Person=3	3	nsubj	_	nsubj
2	kesinlik	kesinlik	NOUN	Noun	Case=Nom|Number=Sing|Person=3	3	obj	_	obj
2	adam	adam	NOUN	Noun	Case=Nom|Number=Sing|Person=3	5	nsubj	_	nsubj
3	leblebi	leblebi	NOUN	Noun	Case=Nom|Number=Sing|Person=3	4	nmod	_	nmod
6	pazar	pazar	NOUN	Noun	Case=Nom|Number=Sing|Person=3	7	nsubj	_	nsubj
2	gün	gün	NOUN	Noun	Case=Nom|Number=Sing|Person=3	6	obl	_	obl
5	kaza	kaza	NOUN	Noun	Case=Nom|Number=Sing|Person=3	6	nsubj	_	nsubj
8	çantanızda	çanta	NOUN	Noun	Case=Loc|Number=Sing|Number[psor]=Plur|Person=3|Person[psor]=2	11	nmod	_	nmod
11	flaster	flaster	NOUN	Noun	Case=Nom|Number=Sing|Person=3	15	nsubj	_	nsubj
14	hayatınızı	hayat	NOUN	Noun	Case=Acc|Number=Sing|Number[psor]=Plur|Person=3|Person[psor]=2	15	obj	_	obj
2	hayal	hayal	NOUN	Noun	Case=Nom|Number=Sing|Person=3	0	root	_	root
3	kırıklığına	kırıklık	NOUN	Noun	Case=Dat|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	2	compound	_	compound
1	ünü	ün	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	3	nsubj	_	nsubj
2	dünyayı	dünya	NOUN	Noun	Case=Acc|Number=Sing|Person=3	3	obj	_	obj
4	şair	şair	NOUN	Noun	Case=Nom|Number=Sing|Person=3	0	root	SpaceAfter=No	root
1	evet	evet	NOUN	Noun	Case=Nom|Number=Sing|Person=3	0	root	SpaceAfter=No	root
4	bilim	bilim	NOUN	Noun	Case=Nom|Number=Sing|Person=3	5	nmod:poss	_	nmod
5	dalı	dal	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	6	obj	_	obj
7	matematikte	matematik	NOUN	Noun	Case=Loc|Number=Sing|Person=3	11	obl	_	obl
8	doğruluğunu	doğruluk	NOUN	Noun	Case=Acc|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	11	obj	_	obj
13	yola	yol	NOUN	Noun	Case=Dat|Number=Sing|Person=3	1	conj	_	conj
17	aksiyom	aksiyom	NOUN	Noun	Case=Nom|Number=Sing|Person=3	18	obj	_	obj
3	rapor	rapor	NOUN	Noun	Case=Nom|Number=Sing|Person=3	12	nsubj	_	nsubj
4	uçağın	uçak	NOUN	Noun	Case=Gen|Number=Sing|Person=3	6	nmod:poss	_	nmod
5	düşüş	düşüş	NOUN	Noun	Case=Nom|Number=Sing|Person=3	6	nmod:poss	_	nmod
6	nedeniyle	neden	NOUN	Noun	Case=Ins|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	7	nmod	_	nmod
9	önem	önem	NOUN	Noun	Case=Nom|Number=Sing|Person=3	11	nmod	_	nmod
11	bilgiler	bilgi	NOUN	Noun	Case=Nom|Number=Plur|Person=3	12	obj	_	obj
2	yıl	yıl	NOUN	Noun	Case=Nom|Number=Sing|Person=3	9	obl	_	obl
4	evde	ev	NOUN	Noun	Case=Loc|Number=Sing|Person=3	9	obl	_	obl
7	doğum	doğum	NOUN	Noun	Case=Nom|Number=Sing|Person=3	9	obj	_	obj
8	günü	gün	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	7	compound	_	compound
3	model	model	NOUN	Noun	Case=Nom|Number=Sing|Person=3	7	nsubj	SpaceAfter=No	nsubj
6	zaman	zaman	NOUN	Noun	Case=Nom|Number=Sing|Person=3	0	root	_	root
1	müşteri	müşteri	NOUN	Noun	Case=Nom|Number=Sing|Person=3	4	nsubj	_	nsubj
4	kastımın	kasıt	NOUN	Noun	Case=Gen|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=1	10	nsubj	_	nsubj
8	kefeye	kefe	NOUN	Noun	Case=Dat|Number=Sing|Person=3	7	compound	_	compound
15	karşılığını	karşılık	NOUN	Noun	Case=Acc|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	0	root	_	root
1	aklından	akıl	NOUN	Noun	Case=Abl|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=2	2	obl	_	obl
4	düşünceleri	düşünce	NOUN	Noun	Case=Acc|Number=Plur|Person=3	2	obj	SpaceAfter=No	obj
3	tüccar	tüccar	NOUN	Noun	Case=Nom|Number=Sing|Person=3	6	nmod:poss	_	nmod
5	sanayicinin	sanayici	NOUN	Noun	Case=Gen|Number=Sing|Person=3	3	conj	_	conj
7	vergilerden	vergi	NOUN	Noun	Case=Abl|Number=Plur|Person=3	11	obl	_	obl
9	sıkıntı	sıkıntı	NOUN	Noun	Case=Nom|Number=Sing|Person=3	10	nmod:poss	_	nmod
15	kısmı	kısım	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	19	obl	_	obl
17	icra	icra	NOUN	Noun	Case=Nom|Number=Sing|Person=3	18	nmod:poss	_	nmod
18	işlemi	işlem	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	19	nsubj	_	nsubj
24	talebinde	talep	NOUN	Noun	Case=Loc|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	25	obl	_	obl
26	ifade	ifade	NOUN	Noun	Case=Nom|Number=Sing|Person=3	0	root	_	root
1	kardeşimin	kardeş	NOUN	Noun	Case=Gen|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=1	2	nmod:poss	_	nmod
4	dünya	dünya	NOUN	Noun	Case=Nom|Number=Sing|Person=3	5	nmod:poss	_	nmod
5	insanına	insan	NOUN	Noun	Case=Dat|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	8	obl	_	obl
11	durum	durum	NOUN	Noun	Case=Nom|Number=Sing|Person=3	9	nsubj	SpaceAfter=No	nsubj
4	çocuklar	çocuk	NOUN	Noun	Case=Nom|Number=Plur|Person=3	1	conj	_	conj
8	eve	ev	NOUN	Noun	Case=Dat|Number=Sing|Person=3	10	obl	_	obl
2	big	big	NOUN	Noun	Case=Nom|Number=Sing|Person=3	4	nmod:poss	_	nmod
3	bang	bang	NOUN	Noun	Case=Nom|Number=Sing|Person=3	2	compound	_	compound
8	davranış	davranış	NOUN	Noun	Case=Nom|Number=Sing|Person=3	9	obj	_	obj
1	dövizde	döviz	NOUN	Noun	Case=Loc|Number=Sing|Person=3	2	obl	_	obl
3	analizlerde	analiz	NOUN	Noun	Case=Loc|Number=Plur|Person=3	10	obl	_	obl
4	yıl	yıl	NOUN	Noun	Case=Nom|Number=Sing|Person=3	5	nmod:poss	_	nmod
8	ot	ot	NOUN	Noun	Case=Nom|Number=Sing|Person=3	10	nmod	_	nmod
10	peynirlerimizden	peynir	NOUN	Noun	Case=Abl|Number=Plur|Number[psor]=Plur|Person=3|Person[psor]=1	13	obl	_	obl
11	futbol	futbol	NOUN	Noun	Case=Nom|Number=Sing|Person=3	12	nmod:poss	_	nmod
12	takımı	takım	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	13	obj	_	obj
2	düşüm	düş	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=1	3	nmod:poss	_	nmod
6	kentin	kent	NOUN	Noun	Case=Gen|Number=Sing|Person=3	7	nmod:poss	_	nmod
7	kanallarını	kanal	NOUN	Noun	Case=Acc|Number=Plur|Number[psor]=Sing|Person=3|Person[psor]=3	8	obj	_	obj
1	salata	salata	NOUN	Noun	Case=Nom|Number=Sing|Person=3	2	nmod:poss	_	nmod
2	kelimesi	kelime	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	6	nsubj	_	nsubj
5	lehçesinden	lehçe	NOUN	Noun	Case=Abl|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	6	obl	_	obl
2	akşama	akşam	NOUN	Noun	Case=Dat|Number=Sing|Person=3	3	obl	_	obl
4	insanların	insan	NOUN	Noun	Case=Gen|Number=Plur|Person=3	8	nmod:poss	_	nmod
6	sırada	sıra	NOUN	Noun	Case=Loc|Number=Sing|Person=3	5	compound	_	compound
9	merak	merak	NOUN	Noun	Case=Nom|Number=Sing|Person=3	15	obl	_	obl
11	cinayet	cinayet	NOUN	Noun	Case=Nom|Number=Sing|Person=3	12	nmod:poss	_	nmod
12	haberlerini	haber	NOUN	Noun	Case=Acc|Number=Plur|Number[psor]=Sing|Person=3|Person[psor]=3	13	obj	_	obj
14	dosyalarına	dosya	NOUN	Noun	Case=Dat|Number=Plur|Number[psor]=Sing|Person=3|Person[psor]=3	15	obl	_	obl
20	cinayet	cinayet	NOUN	Noun	Case=Nom|Number=Sing|Person=3	21	nsubj	_	nsubj
21	çıkar	çıkar	NOUN	Noun	Case=Nom|Number=Sing|Person=3	37	obl	_	obl
33	cinayet	cinayet	NOUN	Noun	Case=Nom|Number=Sing|Person=3	34	nmod:poss	_	nmod
34	defterime	defter	NOUN	Noun	Case=Dat|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=1	37	obl	_	obl
5	etrafında	etraf	NOUN	Noun	Case=Loc|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	6	obl	_	obl
1	arkadaşlarına	arkadaş	NOUN	Noun	Case=Dat|Number=Plur|Number[psor]=Sing|Person=3|Person[psor]=3	2	obl	_	obl
1	şeker	şeker	NOUN	Noun	Case=Nom|Number=Sing|Person=3	16	nmod:poss	SpaceAfter=No	nmod
3	kahve	kahve	NOUN	Noun	Case=Nom|Number=Sing|Person=3	1	conj	SpaceAfter=No	conj
5	un	un	NOUN	Noun	Case=Nom|Number=Sing|Person=3	1	conj	SpaceAfter=No	conj
7	ayçiçeği	ayçiçeği	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	8	nmod:poss	_	nmod
8	yağı	yağ	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	1	conj	_	conj
10	antibiyotiklerin	antibiyotik	NOUN	Noun	Case=Gen|Number=Plur|Person=3	1	conj	_	conj
12	dağlara	dağ	NOUN	Noun	Case=Dat|Number=Plur|Person=3	13	obl	_	obl
16	durumu	durum	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	0	root	SpaceAfter=No	root
2	saygı	saygı	NOUN	Noun	Case=Nom|Number=Sing|Person=3	6	obj	_	obj
1	kalemlerin	kalem	NOUN	Noun	Case=Nom|Number=Plur|Number[psor]=Sing|Person=3|Person[psor]=2	5	nsubj	_	nsubj
3	flasterlerin	flaster	NOUN	Noun	Case=Nom|Number=Plur|Number[psor]=Sing|Person=3|Person[psor]=2	1	conj	_	conj
4	eroin	eroin	NOUN	Noun	Case=Nom|Number=Sing|Person=3	5	nmod:poss	_	nmod
8	oranı	oran	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	22	nsubj	_	nsubj
9	zekalarından	zeka	NOUN	Noun	Case=Abl|Number=Plur|Number[psor]=Sing|Person=3|Person[psor]=3	20	nmod	_	nmod
12	duygularını	duygu	NOUN	Noun	Case=Acc|Number=Plur|Number[psor]=Sing|Person=3|Person[psor]=3	13	obj	_	obj
15	topluma	toplum	NOUN	Noun	Case=Dat|Number=Sing|Person=3	16	nmod	_	nmod
16	uyum	uyum	NOUN	Noun	Case=Nom|Number=Sing|Person=3	18	nmod:poss	_	nmod
18	yerine	yer	NOUN	Noun	Case=Dat|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	20	nmod	_	nmod
20	iptal	iptal	NOUN	Noun	Case=Nom|Number=Sing|Person=3	22	nmod	_	nmod
22	kişiler	kişi	NOUN	Noun	Case=Nom|Number=Plur|Person=3	0	root	SpaceAfter=No	root
1	askerler	asker	NOUN	Noun	Case=Nom|Number=Plur|Person=3	7	nsubj	SpaceAfter=No	nsubj
3	anayasa	anayasa	NOUN	Noun	Case=Nom|Number=Sing|Person=3	4	nsubj	_	nsubj
6	rejime	rejim	NOUN	Noun	Case=Dat|Number=Sing|Person=3	7	nmod	_	nmod
7	müdahale	müdahale	NOUN	Noun	Case=Nom|Number=Sing|Person=3	0	root	_	root
12	anayasayı	anayasa	NOUN	Noun	Case=Acc|Number=Sing|Person=3	14	obj	_	obj
3	iktidar	iktidar	NOUN	Noun	Case=Nom|Number=Sing|Person=3	4	nmod:poss	_	nmod
4	mevzilerini	mevzi	NOUN	Noun	Case=Acc|Number=Plur|Number[psor]=Sing|Person=3|Person[psor]=3	5	obj	_	obj
7	kilise	kilise	NOUN	Noun	Case=Nom|Number=Sing|Person=3	19	nsubj	SpaceAfter=No	nsubj
9	varlığını	varlık	NOUN	Noun	Case=Acc|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	10	obj	_	obj
13	burjuvazi	burjuvazi	NOUN	Noun	Case=Nom|Number=Sing|Person=3	14	nmod:poss	_	nmod
14	egemenliğinde	egemenlik	NOUN	Noun	Case=Loc|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	18	nmod	_	nmod
17	noktalarda	nokta	NOUN	Noun	Case=Loc|Number=Plur|Person=3	18	nmod	_	nmod
18	tutunmaya	tutunma	NOUN	Noun	Case=Dat|Number=Sing|Person=3	19	obl	_	obl
13	jul	jul	NOUN	Noun	Case=Nom|Number=Sing|Person=3	12	nsubj	SpaceAfter=No	nsubj
2	savcısı	savcı	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	5	obl	_	obl
2	alkolle	alkol	NOUN	Noun	Case=Ins|Number=Sing|Person=3	13	advmod:emph	SpaceAfter=No	advmod
4	haplarla	hap	NOUN	Noun	Case=Ins|Number=Plur|Person=3	2	conj	SpaceAfter=No	conj
6	kokainle	kokain	NOUN	Noun	Case=Ins|Number=Sing|Person=3	2	conj	SpaceAfter=No	conj
8	lsd	LSD	NOUN	Abr	Abbr=Yes|Case=Nom|Number=Sing|Person=3	2	conj	_	conj
12	eroin	eroin	NOUN	Noun	Case=Nom|Number=Sing|Person=3	2	conj	_	conj
15	fark	fark	NOUN	Noun	Case=Nom|Number=Sing|Person=3	0	root	_	root
4	sahne	sahne	NOUN	Noun	Case=Nom|Number=Sing|Person=3	5	obj	_	obj
4	oyun	oyun	NOUN	Noun	Case=Nom|Number=Sing|Person=3	1	conj	SpaceAfter=No	conj
6	karşılık	karşılık	NOUN	Noun	Case=Nom|Number=Sing|Person=3	9	nmod	_	nmod
9	oyun	oyun	NOUN	Noun	Case=Nom|Number=Sing|Person=3	4	conj	SpaceAfter=No	conj
1	göstergelerde	gösterge	NOUN	Noun	Case=Loc|Number=Plur|Person=3	4	obl	_	obl
3	anormallik	anormallik	NOUN	Noun	Case=Nom|Number=Sing|Person=3	4	obj	_	obj
2	dedeleri	dede	NOUN	Noun	Case=Nom|Number=Plur|Number[psor]=Plur|Person=3|Person[psor]=3	5	obj	_	obj
3	işe	iş	NOUN	Noun	Case=Dat|Number=Sing|Person=3	5	obl	_	obl
3	gelir	gelir	NOUN	Noun	Case=Nom|Number=Sing|Person=3	4	nmod:poss	_	nmod
4	oranı	oran	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	6	nsubj	_	nsubj
7	ülkelerle	ülke	NOUN	Noun	Case=Ins|Number=Plur|Person=3	8	obl	_	obl
9	anne	anne	NOUN	Noun	Case=Nom|Number=Sing|Person=3	12	nmod:poss	_	nmod
11	bebek	bebek	NOUN	Noun	Case=Nom|Number=Sing|Person=3	9	conj	_	conj
12	ölümleri	ölüm	NOUN	Noun	Case=Nom|Number=Plur|Number[psor]=Sing|Person=3|Person[psor]=3	13	nmod:poss	_	nmod
13	oranının	oran	NOUN	Noun	Case=Gen|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	16	nsubj	_	nsubj
18	dikkat	dikkat	NOUN	Noun	Case=Nom|Number=Sing|Person=3	0	root	_	root
5	parantez	parantez	NOUN	Noun	Case=Nom|Number=Sing|Person=3	3	nsubj	SpaceAfter=No	nsubj
2	öğretmenim	öğretmen	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=1	0	root	_	root
1	nohut	nohut	NOUN	Noun	Case=Nom|Number=Sing|Person=3	0	root	_	root
1	i̇htiyaç	ihtiyaç	NOUN	Noun	Case=Nom|Number=Sing|Person=3	2	obj	_	obj
3	düşüncesiyle	düşünce	NOUN	Noun	Case=Ins|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	15	obl	_	obl
4	evin	ev	NOUN	Noun	Case=Gen|Number=Sing|Person=3	5	nmod:poss	_	nmod
5	etrafında	etraf	NOUN	Noun	Case=Loc|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	8	obl	_	obl
6	gün	gün	NOUN	Noun	Case=Nom|Number=Sing|Person=3	7	nmod:poss	_	nmod
7	boyu	boy	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	8	obl	_	obl
9	on	on	NOUN	Noun	Case=Nom|Number=Sing|Person=3	11	nmod	_	nmod
11	geyik	geyik	NOUN	Noun	Case=Nom|Number=Sing|Person=3	12	nsubj	_	nsubj
14	diğerleri	diğer	NOUN	Noun	Case=Nom|Number=Plur|Number[psor]=Plur|Person=3|Person[psor]=3	15	nsubj	_	nsubj
3	ayağım	ayak	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=1	4	nsubj	_	nsubj
1	olur	olur	NOUN	Noun	Case=Nom|Number=Sing|Person=3	2	nmod	_	nmod
2	eşeklik	eşeklik	NOUN	Noun	Case=Nom|Number=Sing|Person=3	3	obj	_	obj
3	çeşit	çeşit	NOUN	Noun	Case=Nom|Number=Sing|Person=3	4	nmod	_	nmod
4	peynirleri	peynir	NOUN	Noun	Case=Nom|Number=Plur|Number[psor]=Plur|Person=3|Person[psor]=3	5	nsubj	_	nsubj
3	gömlek	gömlek	NOUN	Noun	Case=Nom|Number=Sing|Person=3	4	nmod:poss	_	nmod
4	cebinden	cep	NOUN	Noun	Case=Abl|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	8	obl	_	obl
6	paket	paket	NOUN	Noun	Case=Nom|Number=Sing|Person=3	7	nmod	_	nmod
7	sigara	sigara	NOUN	Noun	Case=Nom|Number=Sing|Person=3	8	obj	_	obj
5	korkulukların	korkuluk	NOUN	Noun	Case=Gen|Number=Plur|Person=3	6	nmod	_	nmod
6	ardında	art	NOUN	Noun	Case=Loc|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	7	obl	_	obl
8	kapılar	kapı	NOUN	Noun	Case=Nom|Number=Plur|Person=3	1	conj	SpaceAfter=No	conj
1	i̇nşaat	inşaat	NOUN	Noun	Case=Nom|Number=Sing|Person=3	2	nmod:poss	_	nmod
2	konsorsiyumu	konsorsiyum	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	6	nsubj	SpaceAfter=No	nsubj
4	okullara	okul	NOUN	Noun	Case=Dat|Number=Plur|Person=3	6	nmod	_	nmod
5	kitap	kitap	NOUN	Noun	Case=Nom|Number=Sing|Person=3	6	nmod:poss	_	nmod
6	yardımı	yardım	NOUN	Noun	Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	0	root	_	root
1	hükümet	hükümet	NOUN	Noun	Case=Nom|Number=Sing|Person=3	2	nsubj	_	nsubj
1	merhaba	merhaba	NOUN	Noun	Case=Nom|Number=Sing|Person=3	0	root	SpaceAfter=No	root
11	hayatın	hayat	NOUN	Noun	Case=Gen|Number=Sing|Person=3	13	nmod:poss	_	nmod
13	kıvılcımları	kıvılcım	NOUN	Noun	Case=Nom|Number=Plur|Number[psor]=Sing|Person=3|Person[psor]=3	17	nsubj	SpaceAfter=No	nsubj
16	gözlerinde	göz	NOUN	Noun	Case=Loc|Number=Plur|Number[psor]=Sing|Person=3|Person[psor]=3	17	obl	_	obl
3	şart	şart	NOUN	Noun	Case=Nom|Number=Sing|Person=3	0	root	SpaceAfter=No	root
3	gerek	gerek	NOUN	Noun	Case=Nom|Number=Sing|Person=3	5	obj	_	obj
